"Niche","Cluster_name","n_samples","Genus","mean_abundance","sd_abundance","min_abundance","max_abundance"
"Sputum","Mix",3,"g__Prevotella",0.0612222568622414,0.0650932263328987,0.0169696406155563,0.135964224070297
"Sputum","Nei6/Hae8",7,"g__Neisseria",0.248997687544008,0.105058144768972,0.110047152702213,0.420285694234438
"Sputum","Nei6/Hae8",7,"g__Haemophilus",0.119478312517916,0.036812006040743,0.0836808188021228,0.163774733637747
"Sputum","Nei6/Hae8",7,"g__Streptococcus",0.0973400887315732,0.0509037992874488,0.0351854332944156,0.167525773195876
"Sputum","Nei6/Hae8",7,"g__Veillonella",0.091714810289336,0.0751868288384977,0.012211227438896,0.203232125367287
"Sputum","Nei6/Hae8",7,"g__Prevotella_7",0.0697219813804561,0.0340703216012545,0.0199804113614104,0.111732373009856
"Sputum","Pre11/Vei5",1,"g__Prevotella_7",0.237680708845018,NA,0.237680708845018,0.237680708845018
"Sputum","Pre11/Vei5",1,"g__Staphylococcus",0.148142390797451,NA,0.148142390797451,0.148142390797451
"Sputum","Pre11/Vei5",1,"g__Veillonella",0.125042748328929,NA,0.125042748328929,0.125042748328929
"Sputum","Pre11/Vei5",1,"g__Campylobacter",0.109155914814239,NA,0.109155914814239,0.109155914814239
"Sputum","Pre11/Vei5",1,"g__Gemella",0.0959738846572361,NA,0.0959738846572361,0.0959738846572361
"Sputum","Pre24",2,"g__Prevotella_7",0.401178697875614,0.111608705831918,0.32225942514241,0.480097970608817
"Sputum","Pre24",2,"g__Veillonella",0.156173820159036,0.0447398296629933,0.124537983215202,0.187809657102869
"Sputum","Pre24",2,"g__Fusobacterium",0.139909553420011,0.197861987952143,0,0.279819106840023
"Sputum","Pre24",2,"g__Megasphaera",0.0435831332610914,0.0294121808565764,0.022785580727921,0.0643806857942617
"Sputum","Pre24",2,"g__Alloprevotella",0.0433777086511391,0.0500301594865084,0.00800104361438449,0.0787543736878936
"Sputum","Pre4/Vei5",12,"g__Prevotella_7",0.195189016071639,0.13594658101242,0.0470624683152143,0.483652762119504
"Sputum","Pre4/Vei5",12,"g__Neisseria",0.073701728745632,0.10009627117066,0,0.343041616955576
"Sputum","Pre4/Vei5",12,"g__Prevotella",0.0715080762169602,0.0661441134885893,0.00175239666013813,0.211079154683006
"Sputum","Pre4/Vei5",12,"g__Streptococcus",0.0690351032296791,0.0436573151446116,0.0141626379075245,0.120518602029312
"Sputum","Pre4/Vei5",12,"g__Fusobacterium",0.061597480005314,0.0895421687634256,0,0.302488433162436
"Sputum","Pse14",18,"g__Pseudomonas",0.624714819083576,0.231185254124094,0.269235810722244,0.952585743468444
"Sputum","Pse14",18,"g__Prevotella_7",0.0837217381182329,0.104363754435966,0,0.312033031852143
"Sputum","Pse14",18,"g__Streptococcus",0.0502240557261413,0.0542023720563261,0,0.163745172106447
"Sputum","Pse14",18,"g__Veillonella",0.0330637816301989,0.0408637792648524,0.000486026731470231,0.153886414372844
"Sputum","Pse14",18,"g__Haemophilus",0.0279790853010615,0.0686234477460922,0,0.29405532793531
"Sputum","Sta2",14,"g__Staphylococcus",0.393586980411027,0.227931672906543,0.102061492379526,0.789333036410199
"Sputum","Sta2",14,"g__Prevotella_7",0.0877507777134882,0.0859481766335305,0.000690894016857814,0.320354171111585
"Sputum","Sta2",14,"g__Achromobacter",0.0837340721451782,0.130461267866847,0,0.333766209323772
"Sputum","Sta2",14,"g__Streptococcus",0.0523772917820677,0.0321437871527702,0.0103551942990758,0.128931371685314
"Sputum","Sta2",14,"g__Prevotella",0.0453119384871325,0.0472959024253765,0,0.140610608903292
"Sputum","Str3",4,"g__Streptococcus",0.319032298283556,0.0864836893004355,0.262112304885465,0.445423155521105
"Sputum","Str3",4,"g__Haemophilus",0.106968187144062,0.103216879111804,0.00211401592558664,0.237051234106208
"Sputum","Str3",4,"g__Veillonella",0.101917003292848,0.0841318511310078,0.0480586287083363,0.225411368735976
"Sputum","Str3",4,"g__Prevotella_7",0.0660204606556084,0.0515584191248494,0,0.125886884248936
"Sputum","Str3",4,"g__Gemella",0.0641091540233864,0.0560124279616313,0,0.135004321521175
"Sputum","Vei5/Pre4",5,"g__Veillonella",0.248823927286485,0.077138917922375,0.19844129724294,0.380126467931346
"Sputum","Vei5/Pre4",5,"g__Prevotella_7",0.108977215862684,0.101787389283238,0.00390821986888553,0.272483686914857
"Sputum","Vei5/Pre4",5,"g__Streptococcus",0.106376444502834,0.0257069443229327,0.0667339154556631,0.131044866004216
"Sputum","Vei5/Pre4",5,"g__Haemophilus",0.0910256444061733,0.0640706512442719,0,0.173096318709027
"Sputum","Vei5/Pre4",5,"g__Rothia",0.0683563525198937,0.0767807978185552,0.000903342366757001,0.17309862333559
"Throat","Dol7/Cor10",2,"g__Dolosigranulum",0.365008758958718,0.132609570554459,0.271239632369424,0.458777885548012
"Throat","Dol7/Cor10",2,"g__Corynebacterium",0.296571129115335,0.0774802014193449,0.241784353284017,0.351357904946654
"Throat","Dol7/Cor10",2,"g__Sphingomonas",0.131024433983412,0.185296531541599,0,0.262048867966824
"Throat","Dol7/Cor10",2,"g__Hymenobacter",0.112463573189868,0.15904751047805,0,0.224927146379735
"Throat","Dol7/Cor10",2,"g__",0.0807064338829615,0.114136133368052,0,0.161412867765923
"Throat","Enh21",2,"g__Enhydrobacter",0.598590413368279,0.0370545796680455,0.572388868810987,0.624791957925571
"Throat","Enh21",2,"g__",0.187390988358979,0.264295337273401,0.000505963136971449,0.374276013580987
"Throat","Enh21",2,"g__Cutibacterium",0.0720636067943621,0.101913330082109,0,0.144127213588724
"Throat","Enh21",2,"g__OLB8",0.0451029996385978,0.0637852737926138,0,0.0902059992771955
"Throat","Enh21",2,"g__Streptococcus",0.0372244307914709,0.0526432948769168,0,0.0744488615829418
"Throat","Fla29",1,"g__",0.424854002061147,NA,0.424854002061147,0.424854002061147
"Throat","Fla29",1,"g__Flavobacterium",0.19168670559945,NA,0.19168670559945,0.19168670559945
"Throat","Fla29",1,"g__Staphylococcus",0.187936562464216,NA,0.187936562464216,0.187936562464216
"Throat","Fla29",1,"g__Bdellovibrio",0.00913202793999771,NA,0.00913202793999771,0.00913202793999771
"Throat","Fla29",1,"g__Legionella",0.00709950761479446,NA,0.00709950761479446,0.00709950761479446
"Throat","Gem15",32,"g__Neisseria",0.164287567536001,0.114909875296211,0.00104239054899236,0.414670380687094
