"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_23927",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_23943",TRUE,"g__","f__","o__Kapabacteriales","p__Bacteroidota","k__Bacteria"
"ASV_23966",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_23980",TRUE,"g__Bryobacter","f__Bryobacteraceae","o__Bryobacterales","p__Acidobacteriota","k__Bacteria"
"ASV_23991",TRUE,"g__Bryobacter","f__Bryobacteraceae","o__Bryobacterales","p__Acidobacteriota","k__Bacteria"
"ASV_24076",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_24079",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_24161",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_24185",TRUE,"g__OLB17","f__Blastocatellaceae","o__Blastocatellales","p__Acidobacteriota","k__Bacteria"
"ASV_24261",TRUE,"g__","f__Microtrichaceae","o__Microtrichales","p__Actinobacteriota","k__Bacteria"
"ASV_24270",TRUE,"g__Stenotrophobacter","f__Blastocatellaceae","o__Blastocatellales","p__Acidobacteriota","k__Bacteria"
"ASV_24419",TRUE,"g__Paenarthrobacter","f__Micrococcaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_24433",TRUE,"g__Microbacterium","f__Microbacteriaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_24482",TRUE,"g__Actinotalea","f__Cellulomonadaceae","o__Micrococcales","p__Actinobacteriota","k__Bacteria"
"ASV_24672",TRUE,"g__Acidaminobacter","f__Acidaminobacteraceae","o__Peptostreptococcales-Tissierellales","p__Firmicutes","k__Bacteria"
"ASV_24902",TRUE,"g__Fusicatenibacter","f__Lachnospiraceae","o__Lachnospirales","p__Firmicutes","k__Bacteria"
"ASV_24931",TRUE,"g__[Ruminococcus] gnavus group","f__Lachnospiraceae","o__Lachnospirales","p__Firmicutes","k__Bacteria"
"ASV_25022",TRUE,"g__","f__Solirubrobacteraceae","o__Solirubrobacterales","p__Actinobacteriota","k__Bacteria"
